Port1; Paket_No; Gonderme_Zamani; Basinc; Yukseklik; Inis_Hizi; Sicaklik; Pil_Gerilimi; RPM; GPS_Long; GPS_Lat; Pitch; Roll; Yaw; Donus_Sayisi; Takim_No; Statu;;
;5372; 18.07.2020 03:06:23;1006,14;59,35;3657;27,55;457;34;37;41;1,24;365;0,29;315;55502; Beklemede;;
;5372; 18.07.2020 03:06:20;1006,13;59,41;3657;27,55;457;34;37;41;1,23;365;0,48;315;55502; Beklemede;;
;5372; 18.07.2020 03:06:17;1006,15;59,28;3657;27,55;457;34;37;41;1,25;365;0,44;315;55502; Beklemede;;
;5372; 18.07.2020 03:06:14;1006,14;59,41;3657;27,55;457;34;37;41;1,23;365;0,38;315;55502; Beklemede;;
;5372; 18.07.2020 03:06:11;1006,16;59,2;3657;27,55;457;34;37;41;1,4;365;0,44;315;55502; Beklemede;;
;5372; 18.07.2020 03:06:08;1006,16;59,2;3657;27,55;457;34;37;41;1,36;365;0,25;315;55502; Beklemede;;
;5372; 18.07.2020 03:06:05;1006,14;59,33;3657;27,55;457;34;37;41;1,33;365;0,36;315;55502; Beklemede;;
;5372; 18.07.2020 03:06:01;1006,13;59,43;3657;27,54;457;34;37;41;1,37;365;0,44;315;55502; Beklemede;;
;5372; 18.07.2020 03:05:59;1006,15;59,32;3657;27,55;457;34;37;41;1,3;365;0,33;315;55502; Beklemede;;
;5372; 18.07.2020 02:58:09;1006,14;59,39;3657;27,59;457;34;37;41;1,17;365;0,42;315;55502; Beklemede;;
;5372; 18.07.2020 02:58:05;1006,14;59,38;3657;27,59;457;34;37;41;1,33;365;0,28;315;55502; Beklemede;;
;5372; 18.07.2020 02:58:02;1006,13;59,52;3657;27,59;457;34;37;41;1,33;365;0,48;315;55502; Beklemede;;
;5372; 18.07.2020 02:57:59;1006,12;59,47;3657;27,59;457;34;37;41;1,35;365;0,25;315;55502; Beklemede;;
;1; 20.07.2020 13:46:04;1008,54;39,27;3657;31,5;457;34;37;41;0,94;-1,56;0,41;315;55502; Beklemede;;
;1; 20.07.2020 13:46:01;1008,51;39,54;3657;31,49;457;34;37;41;0,99;-1,57;0,39;315;55502; Beklemede;;
;1; 20.07.2020 13:45:58;1008,54;39,3;3657;31,49;457;34;37;41;0,9;-1,56;0,42;315;55502; Beklemede;;
;1; 20.07.2020 13:45:55;1008,52;39,48;3657;31,49;457;34;37;41;0,98;-1,56;0,44;315;55502; Beklemede;;
;1; 20.07.2020 13:45:52;1008,53;39,41;3657;31,49;457;34;37;41;0,98;-1,56;0,46;315;55502; Beklemede;;
;1; 20.07.2020 13:45:49;1008,52;39,49;3657;31,49;457;34;37;41;0,98;-1,56;0,52;315;55502; Beklemede;;
;1; 20.07.2020 13:45:46;1008,54;39,29;3657;31,49;457;34;37;41;0,89;-1,56;0,48;315;55502; Beklemede;;
;1; 20.07.2020 13:45:43;1008,55;39,21;3657;31,49;457;34;37;41;0,93;-1,56;0,42;315;55502; Beklemede;;
;1; 20.07.2020 13:45:40;1008,55;39,18;3657;31,48;457;34;37;41;0,98;-1,57;0,55;315;55502; Beklemede;;
;1; 20.07.2020 13:45:36;1008,5;39,59;3657;31,47;457;34;37;41;0,97;-1,56;0,34;315;55502; Beklemede;;
;1; 20.07.2020 13:45:34;1008,54;39,3;3657;31,47;457;34;37;41;0,98;-1,56;0,43;315;55502; Beklemede;;
;1; 20.07.2020 13:45:30;1008,53;39,34;3657;31,47;457;34;37;41;1,05;-1,56;0,5;315;55502; Beklemede;;
;1; 20.07.2020 13:45:28;1008,54;39,29;3657;31,47;457;34;37;41;0,9;-1,56;0,6;315;55502; Beklemede;;
;1; 20.07.2020 13:45:24;1008,56;39,15;3657;31,46;457;34;37;41;1;-1,57;0,4;315;55502; Beklemede;;
;1; 20.07.2020 13:45:21;1008,52;39,49;3657;31,46;457;34;37;41;0,97;-1,57;0,46;315;55502; Beklemede;;
;1; 20.07.2020 13:45:18;1008,54;39,33;3657;31,45;457;34;37;41;0,93;-1,57;0,33;315;55502; Beklemede;;
;1; 20.07.2020 13:45:15;1008,53;39,35;3657;31,44;457;34;37;41;0,88;-1,57;0,45;315;55502; Beklemede;;
;1; 20.07.2020 13:45:12;1008,54;39,27;3657;31,44;457;34;37;41;0,91;-1,57;0,47;315;55502; Beklemede;;
;1; 20.07.2020 13:45:09;1008,55;39,23;3657;31,43;457;34;37;41;0,93;-1,57;0,47;315;55502; Beklemede;;
;1; 20.07.2020 13:45:06;1008,55;39,22;3657;31,42;457;34;37;41;0,95;-1,58;0,42;315;55502; Beklemede;;
;1; 20.07.2020 13:45:03;1008,52;39,47;3657;31,41;457;34;37;41;0,99;-1,57;0,36;315;55502; Beklemede;;
;1; 20.07.2020 13:45:00;1008,47;39,86;3657;31,4;457;34;37;41;0,88;-1,57;0,43;315;55502; Beklemede;;
;1; 20.07.2020 13:44:57;1008,52;39,44;3657;31,4;457;34;37;41;0,99;-1,57;0,52;315;55502; Beklemede;;
;1; 20.07.2020 13:44:54;1008,52;39,44;3657;31,39;457;34;37;41;0,97;-1,55;0,43;315;55502; Beklemede;;
;1; 20.07.2020 13:44:51;1008,53;39,36;3657;31,39;457;34;37;41;0,96;-1,56;0,35;315;55502; Beklemede;;
;1; 20.07.2020 13:44:48;1008,51;39,57;3657;31,38;457;34;37;41;0,96;-1,56;0,45;315;55502; Beklemede;;
;1; 20.07.2020 13:44:44;1008,52;39,43;3657;31,38;457;34;37;41;0,95;-1,56;0,4;315;55502; Beklemede;;
;1; 20.07.2020 13:44:42;1008,52;39,5;3657;31,38;457;34;37;41;0,96;-1,55;0,39;315;55502; Beklemede;;
;1; 20.07.2020 13:44:38;1008,49;39,72;3657;31,37;457;34;37;41;0,9;-1,55;0,4;315;55502; Beklemede;;
;1; 20.07.2020 13:44:36;1008,53;39,36;3657;31,37;457;34;37;41;0,97;-1,56;0,5;315;55502; Beklemede;;
;1; 20.07.2020 13:44:32;1008,5;39,65;3657;31,37;457;34;37;41;0,99;-1,56;0,54;315;55502; Beklemede;;
;1; 20.07.2020 13:44:29;1008,55;39,23;3657;31,37;457;34;37;41;1,11;-1,56;0,42;315;55502; Beklemede;;
;1; 20.07.2020 13:44:26;1008,52;39,44;3657;31,39;457;34;37;41;0,96;-1,56;0,47;315;55502; Beklemede;;
;1; 20.07.2020 13:44:23;1008,49;39,68;3657;31,4;457;34;37;41;1;-1,56;0,35;315;55502; Beklemede;;
;1; 20.07.2020 13:44:20;1008,51;39,57;3657;31,42;457;34;37;41;0,91;-1,56;0,45;315;55502; Beklemede;;
;1; 20.07.2020 13:44:17;1008,5;39,6;3657;31,44;457;34;37;41;1,02;-1,57;0,49;315;55502; Beklemede;;
;5; 18.07.2020 03:22:31;1006,19;58,95;3657;27,4;457;34;37;41;1,38;365;0,46;315;55502; Beklemede;;
;4; 18.07.2020 03:22:28;1006,16;59,24;3657;27,4;457;34;37;41;1,32;365;0,47;315;55502; Beklemede;;
;3; 18.07.2020 03:22:25;1006,19;58,91;3657;27,41;457;34;37;41;1,29;365;0,41;315;55502; Beklemede;;
;2; 18.07.2020 03:22:22;1006,16;59,18;3657;27,4;457;34;37;41;1,18;365;0,45;315;55502; Beklemede;;
;5372; 18.07.2020 03:15:37;1006,15;59,31;3657;27,43;457;34;37;41;1,25;365;0,42;315;55502; Beklemede;;
;5372; 18.07.2020 03:15:34;1006,13;59,42;3657;27,42;457;34;37;41;1,36;365;0,42;315;55502; Beklemede;;
;5372; 18.07.2020 03:15:31;1006,13;59,41;3657;27,42;457;34;37;41;1,35;365;0,45;315;55502; Beklemede;;
;5372; 18.07.2020 03:15:28;1006,13;59,49;3657;27,43;457;34;37;41;1,29;365;0,37;315;55502; Beklemede;;
;5372; 18.07.2020 03:15:25;1006,15;59,31;3657;27,43;457;34;37;41;1,37;365;0,4;315;55502; Beklemede;;
;5372; 18.07.2020 03:15:22;1006,09;59,77;3657;27,43;457;34;37;41;1,27;365;0,37;315;55502; Beklemede;;
;5372; 18.07.2020 03:15:19;1006,14;59,4;3657;27,43;457;34;37;41;1,28;365;0,37;315;55502; Beklemede;;
;5372; 18.07.2020 03:15:15;1006,15;59,27;3657;27,43;457;34;37;41;1,27;365;0,45;315;55502; Beklemede;;
;5372; 18.07.2020 03:15:12;1006,11;59,6;3657;27,43;457;34;37;41;1,21;365;0,45;315;55502; Beklemede;;
;5372; 18.07.2020 03:15:09;1006,14;59,34;3657;27,44;457;34;37;41;1,37;365;0,35;315;55502; Beklemede;;
